Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Administrativo/a en calidad de producto,Quality Analyst,ALE-HOP,Spain,Valencian Community,Oliva,Full-time,0-3,Unknown,Regulatory Compliance,Bachelor's Degree,Microsoft Office
ESG Product Manager,Product Manager,Apex Group,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Agile; User Research; UI/UX Design,Bachelor's Degree; Master's Degree; Engineering,Google Analytics; Jira; Figma; Adobe XD; Confluence
Sr Product Manager,Product Manager,EFI,Spain,Valencian Community,Castellón de la Plana,Unknown,5+,Senior,Product Lifecycle Management; Product Strategy; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Strategic Thinking; Analytical Thinking; Business Acumen; Leadership; Team Management; Communication; Problem Solving; Pricing Strategy; Go-to-Market (GTM),Bachelor's Degree,
ESG Associate Product Specialist,Product Manager,Apex Group,Spain,Valencian Community,Valencia,Unknown,3-5,Mid,Project Management; Stakeholder Management; Market Research; Competitive Analysis; Product Development; Product Lifecycle Management; Business Acumen; Analytical Thinking; Problem Solving; Communication; Time Management; Organization,Bachelor's Degree; Master's Degree,Azure; Power BI
PRODUCT PLANNER,Product Manager,SanLucar,Spain,Valencian Community,Puzol,Unknown,3-5,Unknown,Stakeholder Management; Communication; Problem Solving; Analytical Thinking; Process Optimization,Bachelor's Degree,Excel
Crypto Product manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Market Research; Competitive Analysis; Cross-functional Collaboration; Stakeholder Management; Data Analysis,,
Product & Quality Assurance Manager – Sector Espacio y Defensa,Quality Analyst,Unknown,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Quality Assurance; Regulatory Compliance; Risk Management,Engineering; Other,
Brands Product Manager Team lead,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Team Management; Leadership; Executive Communication; Communication; Strategic Thinking; Analytical Thinking; Problem Solving; Quality Assurance; Process Optimization; Regulatory Compliance,,Jira; Confluence; Figma; Sketch; Adobe XD; Microsoft Office
Senior Product Manager - Omnia,Product Manager,Confluence,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Development; Stakeholder Management; Cross-functional Collaboration; Change Management; Communication; Analytical Thinking; Critical Thinking; Problem Solving; Process Optimization; Regulatory Compliance,Bachelor's Degree; Engineering,Jira; Salesforce; Confluence
Senior Product Manager - native Enterprise AI,Product Manager,Maisa,Spain,Valencian Community,Valencia,Full-time,5+,Senior,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Product-led Growth (PLG); Stakeholder Management; Cross-functional Collaboration; Executive Communication; Product Lifecycle Management; Roadmap Prioritization; OKRs; KPI Definition; Metrics Design; Performance Measurement; Roadmap Communication; Roadmap tradeoff communication; Launch post-mortems and learnings,,
