Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software,_source_file,_source_index
Junior Product Manager,Product Manager,Tuotempo,Spain,Catalonia,Barcelona,Full-time,0-3,Junior,Product Development; Product Lifecycle Management; Requirements Gathering; Stakeholder Management,Bachelor's Degree,,20250820_162157_DataPM_result_batch_1.csv,0
Product Associate,Product Manager,Zenown,Spain,Unknown,Unknown,Unknown,0-3,Unknown,Product Development; Requirements Gathering; Market Research; Product Analytics; Product Ops support tasks; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking,,,20250820_162157_DataPM_result_batch_1.csv,1
Product Manager,Product Manager,Wikifarmer,Spain,Unknown,Unknown,Full-time,3-5,Mid,Product Development; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Product Analytics; A/B Testing; Experiment Design; Experiment Analysis; Stakeholder Management; Cross-functional Collaboration; KPI Definition; Product-led Growth (PLG); Product Strategy; Communication; Analytical Thinking; Experimentation,,Google Analytics; GA4; Tableau; Power BI,20250820_162157_DataPM_result_batch_1.csv,2
"Manager, Product Manager",Product Manager,Canonical,EMEA,Unknown,Unknown,Full-time,5+,Manager,Product Development; Product Lifecycle Management; Market Research; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Agile; Product Strategy; Roadmap Prioritization; Communication; Problem Solving; Leadership; Mentoring; Analytical Thinking; Business Acumen; Technical Writing; Project Management; Presentation Skills; Data Analysis; Regulatory Compliance; Customer Segmentation; Experiment Analysis; Hypothesis Testing,Higher Education,Docker; Kubernetes; Git; GitHub; GitLab; Azure; AWS; GCP; Slack; Microsoft Teams; Zoom; Google Meet; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace; Confluence; Jira; Notion; Trello; Asana; ClickUp; Monday.com; Wrike,20250820_162157_DataPM_result_batch_1.csv,3
Product Manager - OpenData,Product Manager,Veeva Systems,Spain,Unknown,Unknown,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Data Modeling; Data Analysis; Requirements Gathering; Product Development; Healthcare Knowledge,Bachelor's Degree,SQL; Tableau; Power BI; Looker; Mode; Metabase; Redash; Apache Superset; Excel,20250820_162157_DataPM_result_batch_1.csv,4
Product Manager (100% Remote),Product Manager,Robert Walters,Spain,Comunitat Valenciana,Valencia,Unknown,5+,Manager,Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Executive Communication; OKRs; KPI Definition; Metrics Design; Performance Measurement; Roadmap Communication; Agile; Communication; Analytical Thinking; Business Acumen; Strategic Thinking; Problem Solving,,Google Analytics; Looker; Mixpanel; Figma,20250820_162157_DataPM_result_batch_1.csv,5
Product Manager,Product Manager,Triple,Spain,Unknown,Unknown,Unknown,3-5,Unknown,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; API,,,20250820_162157_DataPM_result_batch_1.csv,6
Global Product Manager - Crop Protection / Insecticides,Product Manager,ADAMA,European Union,Unknown,Unknown,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Stakeholder Management; Market Research; Competitive Analysis; Product Lifecycle Management; Strategic Thinking,Bachelor's Degree; Master's Degree,,20250820_162157_DataPM_result_batch_1.csv,7
Product Manager,Product Manager,Incode,Spain,Unknown,Unknown,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Product-led Growth (PLG); Experimentation; Analytical Thinking; Business Acumen; Strategic Thinking; Executive Communication,,,20250820_162157_DataPM_result_batch_1.csv,8
Growth Product Manager (Web),Product Manager,Reverse Tech,Spain,Catalonia,Barcelona,Full-time,5+,Mid,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Growth Hacking; Product-led Growth (PLG); A/B Testing; Experiment Design; Experiment Analysis; Conversion Rate Optimization (CRO); Funnel Analysis; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking,,Google Analytics; Amplitude; Hotjar; Tableau; Power BI; Looker; Google Optimize; Optimizely; VWO,20250820_162157_DataPM_result_batch_1.csv,9
