"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Product Designer","Product Designer","Diverger","Spain","Unknown","Unknown","Full-time","3-5","Senior","Product Design, UI/UX Design, User Research, Product Management, Business Acumen, Cross-functional Collaboration, Communication, Problem Solving","","Figma, HTML, CSS, Webflow, After Effects, C4D"
"Junior Product Manager","Product Manager","Tuotempo","Italy","Unknown","Bologna","Full-time","0-3","Junior","Product Management, Product Design, Technical Writing, Problem Solving, Data Analysis, Communication, Cross-functional Collaboration, Document Management, SDLC, User Research, Healthcare Knowledge, Machine Learning","Bachelor's Degree",""
"Product Designer | B2B Saas | Artificial Intelligence | Travel","Product Designer","Unknown","Spain","Unknown","Unknown","Full-time","3-5","Mid","Product Design, UI/UX Design, User-Centered Design, Machine Learning, Business Acumen, Problem Solving, Cross-functional Collaboration","","AI"
"PRODUCT ASSOCIATE","Product Manager","ZenOwn","Unknown","Unknown","Unknown","Unknown","Unknown","Junior","Project Management, Data Analysis, Communication, Business Acumen, Cross-functional Collaboration, User Research, Technical Writing, Process Optimization, Product Management","",""
"diseñador/a de producto","Product Designer","idealista","Spain","Unknown","Madrid","Full-time","Unknown","Unknown","Problem Solving, Process Optimization, UI/UX Design, Product Design, Communication, Cross-functional Collaboration, User Research, User-Centered Design, Product Management, Technical Writing","",""
"Marketing Specialist","Marketing Specialist","Unknown","Unknown","Unknown","Unknown","Contract","0-3","Junior","Marketing, Project Management, Communication, Data Analysis, Technical Writing, Process Optimization, Cross-functional Collaboration","Master's Degree",""
"Product Marketing Manager","Product Manager","Fever","Unknown","Unknown","Unknown","Unknown","5+","Senior","Product Management, Communication, Technical Writing, Marketing, Cross-functional Collaboration, Sales, Business Acumen, Problem Solving","Bachelor's Degree, Engineering",""
"Diseñador de Producto Digital","Product Designer","Garaje","Spain","Unknown","Madrid","Full-time","3-5","Senior","User Research, Product Design, User-Centered Design, Agile, Cross-functional Collaboration, Team Leadership, Problem Solving, Process Optimization","","Figma, Sketch, Axure"
"Product Manager","Product Manager","Wave","Unknown","Unknown","Unknown","Full-time","5+","Lead","Product Management, User Research, Data Analysis, Problem Solving, Cross-functional Collaboration, Team Leadership, Communication, Product Design, UI/UX Design, User-Centered Design, SDLC","",""
"PMO","Project Manager","Minsait","Spain","Unknown","Unknown","Full-time","0-3","Junior","Project Management, Communication, Risk Management, Process Optimization, Cross-functional Collaboration, Problem Solving","",""
"Product Analyst","Product Manager","Unknown","Italy","Unknown","Unknown","Unknown","Unknown","Unknown","Data Analysis, Communication, Problem Solving, Product Management, Business Acumen, Cross-functional Collaboration, Statistical Reporting, Project Management","","Microsoft Excel"
"Product Manager","Product Manager","Triple","Unknown","Unknown","Unknown","Unknown","3-5","Mid","Product Management, API, Data Analysis, Problem Solving, Communication, Cross-functional Collaboration","",""
"Jr Controller Financiero","Business Analyst","Wetaca","Spain","Unknown","Madrid","Full-time","3-5","Junior","Data Analysis, Auditing, Business Acumen, Problem Solving, Cross-functional Collaboration","Bachelor's Degree","Microsoft Excel, Power BI"
"Product Owner – Core & Compliance","Product Manager","Unknown","Unknown","Unknown","Unknown","Unknown","5+","Senior","Product Management, Regulatory Compliance, Technical Writing, Cross-functional Collaboration, User-Centered Design, Project Management, Problem Solving, Business Acumen","",""
"Rev-celerator Graduate Product Owner programme","Product Manager","Revolut","Unknown","Unknown","Unknown","Full-time","0-3","Junior","Product Management, Data Analysis, User Research, Business Acumen, Cross-functional Collaboration, Project Management, Technical Writing, Statistical Reporting, Problem Solving, Communication, User-Centered Design","Bachelor's Degree, Master's Degree",""
"Creative Project Manager","Project Manager","Unknown","Unknown","Unknown","Unknown","Contract","3-5","Manager","Project Management, Process Optimization, Communication, Quality Control, Regulatory Compliance, Data Analysis, Team Leadership, Business Acumen, Problem Solving, Marketing, Document Management","",""
"Product Owner","Product Manager","Amaris Consulting","Unknown","Unknown","Unknown","Unknown","3-5","Mid","Product Management, Agile, Scrum, Communication, Problem Solving, Product Design, Cross-functional Collaboration","","GitHub"
"Junior Sales professional","Marketing Specialist","NaviLens","Unknown","Unknown","Unknown","Unknown","0-3","Junior","Data Analysis, Process Optimization, Communication, Marketing, Sales, Business Acumen, Cross-functional Collaboration","Bachelor's Degree, Engineering","HubSpot, Salesforce, Microsoft Excel"
"Product Owner - PDF","Product Manager","Leadtech","Spain","Unknown","Barcelona","Full-time","0-3","Mid","Product Management, Agile, Scrum, User Research, Data Analysis, Communication, Problem Solving, Cross-functional Collaboration, Team Leadership, Business Acumen","",""
